float_file,date,lat,lon,ocean,profiler_type,pressure,temperature,salinity
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,11.9,22.235,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,17.0,21.987,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,22.1,21.891,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,27.2,21.812,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,32.3,21.632,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,37.4,21.344,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,42.5,20.909,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,47.5,20.468,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,52.6,20.306,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,57.7,20.226,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,62.8,19.928,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,67.9,19.214,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,73.0,18.658,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,78.1,18.19,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,83.2,17.494,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,88.3,16.576,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,93.4,16.284,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,101.0,15.773,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,111.2,15.166,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,121.4,15.008,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,131.5,14.844,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,141.7,14.55,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,151.9,14.357,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,162.1,14.238,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,172.3,14.14,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,182.4,14.064,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,192.6,14.0,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,202.8,13.871,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,213.0,13.701,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,223.2,13.345,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,233.3,12.746,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,243.5,12.258,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,253.7,12.17,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,263.9,11.956,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,274.1,11.734,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,284.2,11.634,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,294.4,11.266,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,304.6,10.864,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,314.8,10.456,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,325.0,9.481,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,335.1,9.081,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,345.3,8.852,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,355.5,8.672,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,365.7,8.545,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,375.9,8.452,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,386.0,8.404,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,396.2,8.384,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,406.4,8.239,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,416.6,8.215,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,426.8,8.184,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,436.9,8.176,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,447.1,8.152,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,457.3,8.053,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,467.5,7.942,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,477.7,7.774,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,487.8,7.503,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,498.0,7.395,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,508.2,7.296,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,518.4,7.198,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,528.6,7.111,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,538.7,7.006,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,548.9,6.868,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,559.1,6.786,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,569.3,6.734,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,579.5,6.525,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,589.6,6.347,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,599.8,6.142,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,610.0,6.032,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,620.2,5.957,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,630.4,5.873,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,640.5,5.851,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,650.7,5.848,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,660.9,5.743,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,671.1,5.575,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,681.3,5.541,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,691.4,5.454,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,701.6,5.379,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,711.8,5.303,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,722.0,5.296,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,732.2,5.211,
