file,date,latitude,longitude,ocean,profiler_type,institution,date_update
,UTC,degrees_north,degrees_east,,,,UTC
aoml/13857/profiles/R13857_001.nc,1997-07-29T20:03:00Z,0.267,-16.032,A,845,AO,2018-10-11T18:05:20Z
aoml/13857/profiles/R13857_002.nc,1997-08-09T19:21:12Z,0.072,-17.659,A,845,AO,2018-10-11T18:05:21Z
aoml/13857/profiles/R13857_003.nc,1997-08-20T18:45:45Z,0.543,-19.622,A,845,AO,2018-10-11T18:05:21Z
aoml/13857/profiles/R13857_004.nc,1997-08-31T19:39:05Z,1.256,-20.521,A,845,AO,2018-10-11T18:05:21Z
aoml/13857/profiles/R13857_005.nc,1997-09-11T18:58:08Z,0.72,-20.768,A,845,AO,2018-10-11T18:05:21Z
aoml/13857/profiles/R13857_006.nc,1997-09-22T19:57:02Z,1.756,-21.566,A,845,AO,2018-10-11T18:05:22Z
aoml/13857/profiles/R13857_007.nc,1997-10-03T19:15:49Z,2.595,-21.564,A,845,AO,2018-10-11T18:05:22Z
aoml/13857/profiles/R13857_008.nc,1997-10-14T18:39:35Z,1.761,-21.587,A,845,AO,2018-10-11T18:05:22Z
aoml/13857/profiles/R13857_009.nc,1997-10-25T19:32:34Z,1.804,-21.774,A,845,AO,2018-10-11T18:05:22Z
aoml/13857/profiles/R13857_010.nc,1997-11-05T18:51:42Z,1.642,-21.362,A,845,AO,2018-10-11T18:05:22Z
aoml/13857/profiles/R13857_011.nc,1997-11-16T19:49:09Z,1.708,-20.758,A,845,AO,2018-10-11T18:05:23Z
aoml/13857/profiles/R13857_012.nc,1997-11-27T19:07:05Z,2.048,-20.224,A,845,AO,2018-10-11T18:05:23Z
aoml/13857/profiles/R13857_013.nc,1997-12-08T18:39:13Z,2.087,-19.769,A,845,AO,2018-10-11T18:05:23Z
aoml/13857/profiles/R13857_014.nc,1997-12-19T19:23:56Z,2.674,-20.144,A,845,AO,2018-10-11T18:05:23Z
aoml/13857/profiles/R13857_015.nc,1997-12-30T18:44:22Z,2.89,-20.433,A,845,AO,2018-10-11T18:05:24Z
aoml/13857/profiles/R13857_016.nc,1998-01-10T19:41:40Z,2.818,-20.699,A,845,AO,2018-10-11T18:05:24Z
aoml/13857/profiles/R13857_017.nc,1998-01-21T19:00:33Z,2.94,-20.789,A,845,AO,2018-10-11T18:05:24Z
aoml/13857/profiles/R13857_018.nc,1998-02-01T19:58:31Z,3.224,-20.757,A,845,AO,2018-10-11T18:05:24Z
aoml/13857/profiles/R13857_019.nc,1998-02-12T19:15:55Z,3.757,-20.953,A,845,AO,2018-10-11T18:05:24Z
aoml/13857/profiles/R13857_020.nc,1998-02-23T18:40:16Z,3.935,-20.805,A,845,AO,2018-10-11T18:05:25Z
aoml/13857/profiles/R13857_021.nc,1998-03-06T19:32:54Z,4.006,-20.016,A,845,AO,2018-10-11T18:05:25Z
aoml/13857/profiles/R13857_022.nc,1998-03-17T18:54:46Z,3.841,-19.594,A,845,AO,2018-10-11T18:05:25Z
aoml/13857/profiles/R13857_023.nc,1998-03-29T02:54:35Z,3.84,-19.004,A,845,AO,2018-10-11T18:05:26Z
aoml/13857/profiles/R13857_024.nc,1998-04-08T19:06:03Z,3.529,-19.409,A,845,AO,2018-10-11T18:05:26Z
aoml/13857/profiles/R13857_025.nc,1998-04-19T20:05:01Z,3.59,-19.398,A,845,AO,2018-10-11T18:05:26Z
aoml/13857/profiles/R13857_026.nc,1998-04-30T19:22:48Z,3.815,-19.252,A,845,AO,2018-10-11T18:05:27Z
aoml/13857/profiles/R13857_027.nc,1998-05-11T18:46:06Z,3.541,-19.034,A,845,AO,2018-10-11T18:05:27Z
aoml/13857/profiles/R13857_028.nc,1998-05-22T19:38:32Z,3.347,-18.711,A,845,AO,2018-10-11T18:05:27Z
aoml/13857/profiles/R13857_029.nc,1998-06-02T18:56:50Z,3.236,-18.883,A,845,AO,2018-10-11T18:05:27Z
aoml/13857/profiles/R13857_030.nc,1998-06-13T19:54:05Z,3.317,-18.781,A,845,AO,2018-10-11T18:05:28Z
aoml/13857/profiles/R13857_031.nc,1998-06-24T19:11:55Z,3.424,-18.946,A,845,AO,2018-10-11T18:05:28Z
aoml/13857/profiles/R13857_032.nc,1998-07-05T20:09:58Z,3.244,-19.063,A,845,AO,2018-10-11T18:05:28Z
aoml/13857/profiles/R13857_033.nc,1998-07-16T19:27:20Z,3.34,-19.104,A,845,AO,2018-10-11T18:05:28Z
aoml/13857/profiles/R13857_034.nc,1998-07-27T18:47:56Z,3.553,-19.28,A,845,AO,2018-10-11T18:05:29Z
aoml/13857/profiles/R13857_035.nc,1998-08-07T19:42:27Z,3.927,-18.815,A,845,AO,2018-10-11T18:05:29Z
aoml/13857/profiles/R13857_036.nc,1998-08-18T18:59:35Z,3.736,-18.552,A,845,AO,2018-10-11T18:05:29Z
aoml/13857/profiles/R13857_037.nc,1998-08-29T19:58:27Z,3.622,-18.176,A,845,AO,2018-10-11T18:05:30Z
aoml/13857/profiles/R13857_038.nc,1998-09-09T19:16:24Z,3.786,-18.031,A,845,AO,2018-10-11T18:05:30Z
aoml/13857/profiles/R13857_039.nc,1998-09-20T20:13:46Z,3.979,-17.841,A,845,AO,2018-10-11T18:05:30Z
aoml/13857/profiles/R13857_040.nc,1998-10-01T19:29:09Z,3.723,-17.854,A,845,AO,2018-10-11T18:05:30Z
aoml/13857/profiles/R13857_041.nc,1998-10-12T18:48:49Z,3.704,-17.962,A,845,AO,2018-10-11T18:05:30Z
aoml/13857/profiles/R13857_042.nc,1998-10-23T19:44:11Z,3.758,-17.823,A,845,AO,2018-10-11T18:05:31Z
aoml/13857/profiles/R13857_043.nc,1998-11-03T19:00:22Z,3.652,-17.7,A,845,AO,2018-10-11T18:05:31Z
aoml/13857/profiles/R13857_044.nc,1998-11-14T19:59:44Z,3.512,-17.996,A,845,AO,2018-10-11T18:05:31Z
aoml/13857/profiles/R13857_045.nc,1998-11-25T19:14:19Z,3.51,-18.453,A,845,AO,2018-10-11T18:05:31Z
aoml/13857/profiles/R13857_046.nc,1998-12-06T20:13:07Z,3.423,-18.92,A,845,AO,2018-10-11T18:05:31Z
aoml/13857/profiles/R13857_047.nc,1998-12-17T20:21:39Z,3.264,-18.769,A,845,AO,2018-10-11T18:05:32Z
aoml/13857/profiles/R13857_048.nc,1998-12-28T19:40:08Z,3.261,-18.833,A,845,AO,2018-10-11T18:05:32Z
aoml/13857/profiles/R13857_049.nc,1999-01-08T19:01:46Z,3.285,-18.837,A,845,AO,2018-10-11T18:05:32Z
aoml/13857/profiles/R13857_050.nc,1999-01-19T19:55:01Z,3.057,-19.111,A,845,AO,2018-10-11T18:05:32Z
aoml/13857/profiles/R13857_051.nc,1999-01-30T19:13:34Z,3.361,-19.263,A,845,AO,2018-10-11T18:05:33Z
aoml/13857/profiles/R13857_052.nc,1999-02-10T20:08:56Z,3.313,-19.604,A,845,AO,2018-10-11T18:05:33Z
aoml/13857/profiles/R13857_053.nc,1999-02-21T19:29:51Z,3.524,-20.167,A,845,AO,2018-10-11T18:05:33Z
aoml/13857/profiles/R13857_054.nc,1999-03-04T20:28:11Z,3.514,-20.78,A,845,AO,2018-10-11T18:05:33Z
aoml/13857/profiles/R13857_055.nc,1999-03-15T19:41:01Z,3.484,-21.234,A,845,AO,2018-10-11T18:05:34Z
aoml/13857/profiles/R13857_056.nc,1999-03-26T20:37:42Z,3.218,-21.733,A,845,AO,2018-10-11T18:05:34Z
aoml/13857/profiles/R13857_057.nc,1999-04-06T18:52:58Z,3.25,-22.464,A,845,AO,2018-10-11T18:05:34Z
aoml/13857/profiles/R13857_058.nc,1999-04-17T19:17:28Z,3.45,-22.955,A,845,AO,2018-10-11T18:05:34Z
aoml/13857/profiles/R13857_059.nc,1999-04-28T19:06:13Z,3.598,-23.189,A,845,AO,2018-10-11T18:05:35Z
aoml/13857/profiles/R13857_060.nc,1999-05-09T19:29:19Z,3.542,-23.346,A,845,AO,2018-10-11T18:05:35Z
aoml/13857/profiles/R13857_061.nc,1999-05-20T19:16:02Z,3.663,-23.288,A,845,AO,2018-10-11T18:05:35Z
aoml/13857/profiles/R13857_062.nc,1999-05-31T19:41:22Z,3.407,-23.657,A,845,AO,2018-10-11T18:05:36Z
aoml/13857/profiles/R13857_063.nc,1999-06-11T19:27:02Z,3.831,-23.867,A,845,AO,2018-10-11T18:05:36Z
aoml/13857/profiles/R13857_064.nc,1999-06-22T18:55:19Z,3.896,-24.049,A,845,AO,2018-10-11T18:05:36Z
aoml/13857/profiles/R13857_065.nc,1999-07-03T19:16:09Z,3.745,-24.331,A,845,AO,2018-10-11T18:05:36Z
